year_label,Motorbikes and Scooters,area_name,area_level,gdp,GDP Growth,All Motor Vehicles,Buses and Coaches,Cars and Taxis,All HGVs,All HGVs,All HGVs,All HGVs,LGVs,Pedal Cycles,log(Motorbikes and Scooters),log(All Motor Vehicles),log(Buses and Coaches),log(Cars and Taxis),log(All HGVs),log(All HGVs),log(All HGVs),log(All HGVs),log(LGVs),log(Pedal Cycles)
2011,166.8955975403262,nat,nuts1,1729121.0,1.5,17130.60538276446,198.43984493360665,13655.805454059353,932.5431334105696,40.35790036538633,166.90522235094912,234.3729614116389,2176.921352820604,114.44768737189199,4.301480408790582,9.090920297710738,4.499102026704714,8.870259082556391,5.608450938374027,2.77417146588516,3.4258332736598267,3.617040261432937,7.018180056090323,3.4376590233609257
2005,197.1134719710669,nat,nuts1,1675896.0,3.1,17845.017359855334,202.32029837251358,14293.820931283906,1059.1280289330923,70.38358951175407,211.38485533453888,192.51396925858953,2092.634629294756,94.02007233273056,4.4935733217138605,9.261941911055867,4.520957977662303,9.050228126435933,5.883811276897937,3.0418645730800598,3.4708714298393906,3.58442271192181,7.096144374509156,3.250460872773798
2015,159.2106951401705,nat,nuts1,1888737.0,2.3,17487.497495386237,195.5181035240355,13725.517180771596,966.3151858687056,43.40306705334389,169.2400035152474,269.08766148167683,2440.93558309166,117.26267686088407,4.2420319629300325,9.075999933975377,4.500574424153506,8.843015829239201,5.562359155391045,2.7090547181425633,3.3955702497198805,3.686405866966935,7.086603419838254,3.423960314689677
2003,219.4585720782174,nat,nuts1,1588019.0,3.3,17708.208594815824,213.46434743065032,14268.918690313782,1032.794042746703,79.59076853115052,209.66857662573898,174.4446111869031,1973.5729877216918,97.54884038199181,4.646433218775644,9.255925751635177,4.62010569485013,9.049906700755878,5.8470422374533095,3.162127843124824,3.5627325353129686,3.5338120800062045,7.034060930027097,3.417569170030683
2007,201.7620778984684,nat,nuts1,1757521.0,2.4,18121.149979548245,207.3984456665,14340.135072490117,1063.3306821797028,61.38194791619325,218.594827978003,211.09153297277646,2308.523701313457,97.62909603235924,4.4922944475379225,9.280624942090373,4.553518411729062,9.057807791103249,5.8673886203767776,2.9237796848972626,3.4794885510527616,3.627043362756877,7.1875455884897494,3.2599703765486834
2013,157.37532259499866,nat,nuts1,1790750.0,2.1,17078.933345198897,199.37576755361752,13547.317077511789,925.68932989232,32.01588502269289,147.93797276853252,271.6424312538934,2249.1687728041293,109.48758565453413,4.261336527377977,9.084451390187787,4.507823833914572,8.859460200604028,5.584881748717018,2.4582292122007523,3.4116616082086964,3.6886701718785666,7.039157486354598,3.4421138608459687
2009,184.77136381815757,nat,nuts1,1675963.0,-4.2,17535.275563258234,199.6136515131316,14042.306225836555,944.4126116517798,48.784873128027364,194.90107985601918,189.91343376438698,2164.171710438608,111.35199751144293,4.444942240957262,9.226007849827916,4.509783070803231,9.010093088411699,5.703683885042341,2.8035562033998227,3.3544014391220096,3.539255905835667,7.121422800462631,3.4613327988081584
2004,200.8988025038556,nat,nuts1,1625567.0,2.4,17930.44534155856,201.75056699628053,14416.281729111855,1072.4058786174362,78.10255828721763,214.6616619794974,187.77447155946655,2039.10836432913,90.4569082826817,4.516326401971155,9.263615710842304,4.524450658769957,9.05622968039488,5.886391257193131,3.1364154208353017,3.5319545179566045,3.581730912771431,7.067040293758184,3.311902775929934
2010,171.04136351387766,nat,nuts1,1704364.0,1.7,17218.43802209647,202.89234707625977,13748.46501392257,958.5600467079852,52.29691008712836,188.60397017874783,203.920955717237,2137.4792508757746,111.6409323632444,4.308822317762039,9.11139966696931,4.510119430103763,8.892714154857961,5.639940805859878,2.9505537890622886,3.4104920354517687,3.564446006836528,7.0212972205796556,3.3727237821959637
2006,201.56994375703042,nat,nuts1,1717055.0,2.5,18039.960989876265,210.10749156355456,14385.563599550056,1055.486209223847,65.74929133858268,214.1644994375703,199.1038920134983,2187.2338807649044,114.50299212598424,4.4489781640594686,9.267848998170628,4.537959314460894,9.053361221067442,5.861893254835326,2.981256943937252,3.4343738177304264,3.604588225620024,7.1260424281797405,3.407388207250569
2014,160.26357202514396,nat,nuts1,1845444.0,3.1,17224.27807815728,195.10967515055611,13582.211701613256,935.6359839992965,35.565255615631465,164.15706184887247,261.8125631895908,2351.064881972834,114.45426172579016,4.274280477988044,9.062290820174963,4.497188731014223,8.832404415032538,5.556236743519995,2.5132588390582873,3.3634105062846156,3.6988334067524535,7.051387782918033,3.3943800089050007
2012,157.06737038186898,nat,nuts1,1754736.0,1.5,17020.26038940879,201.1803787643589,13551.115403379607,921.0212445114647,37.10808533286025,163.61626823967708,242.703641282654,2189.882778196656,111.67396992948065,4.238615298568685,9.078844569057113,4.521830636773359,8.857229002417409,5.5800615921914805,2.5910470867190454,3.42517866352102,3.640979523346664,7.017076171785308,3.433057811487372
2008,157.28275615851481,nat,nuts1,1749216.0,-0.5,14605.113459478758,167.0557657979293,11607.757408068544,828.6671902891825,44.308925383791504,168.77093895037487,163.40624776865403,1844.4558729025348,91.41588718314888,4.104941426273161,8.751075626498887,4.2503545555608415,8.536193082082649,5.2687286638668684,2.7161130979812667,3.274833375816112,3.4426496765941565,6.646702030453207,3.23544107315038
